Indicator,Trade flow,Commodity,Partner,Reporter,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,,
Value (US$),Imports,02 Meat and edible meat offal,Canada,USA,"194,713,762.00","192,444,569.00","213,359,448.00","197,625,741.00","198,449,448.00","188,137,899.00","201,828,962.00","214,600,463.00","207,757,314.00","217,887,721.00","202,124,183.00","188,790,120.00","169,080,774.00","178,007,219.00","206,499,808.00","200,317,741.00",,"227,330,931.00","230,533,286.00","225,075,926.00",,"206,027,585.00","215,154,600.00","184,125,226.00","189,419,327.00","186,288,725.00","217,802,115.00","196,320,520.00","201,463,339.00","213,643,684.00","214,425,660.00","214,715,948.00","208,929,895.00","222,634,260.00","214,672,939.00","203,659,603.00","205,876,503.00","192,353,192.00","236,502,947.00","202,645,439.00","212,585,243.00","220,073,212.00","211,399,526.00","232,636,717.00","225,856,903.00","238,352,850.00","247,090,632.00","204,323,104.00","202,963,610.00","183,287,805.00","209,896,981.00","135,578,738.00","287,563,010.00","267,987,862.00","219,730,988.00","232,604,529.00","213,207,960.00","265,477,236.00","267,671,068.00",,,
Value (US$),Imports,02 Meat and edible meat offal,Mexico,Canada,"1,084,947.00","1,244,729.00","1,103,467.00","1,663,320.00","1,708,918.00","2,373,499.00","1,686,155.00","1,944,869.00","1,639,329.00","1,212,819.00","837,465.00","1,736,846.00","1,973,534.00","1,456,408.00","2,031,943.00","1,820,096.00","1,199,109.00","2,290,264.00","1,518,941.00","1,754,514.00","1,385,464.00","1,638,017.00","1,635,648.00","2,054,023.00","2,240,432.00","2,141,216.00","3,003,701.00","1,928,188.00","1,987,719.00","2,822,865.00","2,121,675.00","3,462,452.00","2,784,112.00","2,121,397.00","2,782,724.00","3,284,853.00","3,501,928.00","2,683,237.00","2,620,447.00","3,650,125.00","4,241,564.00","5,747,334.00","3,354,654.00","3,682,242.00","3,102,011.00","3,594,963.00","3,366,509.00","3,596,085.00","3,144,356.00","4,771,006.00","4,759,391.00","3,091,006.00","8,091,323.00","6,637,509.00","3,767,519.00","5,288,943.00","5,163,199.00","6,118,963.00","3,611,044.00",,,
Value (US$),Imports,02 Meat and edible meat offal,Mexico,USA,"82,416,885.00","92,068,367.00","94,768,920.00","98,281,314.00","102,368,301.00","98,734,214.00","85,179,793.00","102,139,652.00","91,115,966.00","94,438,142.00","95,617,916.00","82,385,445.00","93,073,984.00","84,195,519.00","94,515,396.00","81,526,674.00",,"101,643,343.00","103,509,908.00","92,964,521.00",,"104,019,762.00","102,546,777.00","89,168,717.00","100,057,593.00","96,600,257.00","92,550,545.00","80,443,049.00","118,884,272.00","120,931,500.00","107,515,042.00","101,724,617.00","92,378,571.00","98,609,869.00","101,035,677.00","93,244,117.00","109,186,622.00","111,368,343.00","120,137,064.00","119,859,861.00","119,856,699.00","111,954,630.00","113,703,638.00","112,430,749.00","111,172,110.00","119,242,304.00","116,142,530.00","112,325,593.00","113,514,470.00","112,264,744.00","130,728,137.00","121,450,405.00","193,848,208.00","176,788,627.00","149,564,949.00","144,178,043.00","133,091,736.00","107,042,264.00","92,805,010.00",,,
Value (US$),Imports,02 Meat and edible meat offal,USA,Canada,"107,556,027.00","100,563,571.00","112,011,155.00","109,322,341.00","145,546,720.00","143,942,618.00","134,457,993.00","112,446,231.00","114,708,830.00","108,470,485.00","117,308,765.00","120,255,532.00","106,141,301.00","103,642,575.00","122,715,853.00","112,845,523.00","114,886,562.00","122,745,912.00","140,089,584.00","116,205,210.00","121,680,739.00","110,103,963.00","109,556,256.00","115,891,398.00","97,601,912.00","92,899,417.00","109,822,957.00","108,327,628.00","122,579,208.00","118,274,870.00","122,770,612.00","109,331,544.00","108,613,845.00","99,422,635.00","107,231,395.00","103,572,396.00","90,463,047.00","80,788,642.00","103,582,720.00","102,322,699.00","110,420,333.00","107,434,091.00","110,886,782.00","104,330,241.00","108,847,780.00","98,182,936.00","106,931,632.00","100,384,163.00","105,718,667.00","101,769,172.00","130,292,652.00","114,736,227.00","109,484,128.00","113,637,042.00","125,159,159.00","133,447,772.00","131,879,825.00","113,748,347.00","109,716,066.00",,,
Value (US$),Imports,02 Meat and edible meat offal,USA,Mexico,"210,926,982.00","219,758,279.00","220,205,158.00","247,987,899.00","262,823,165.00","245,168,546.00","245,014,716.00","267,747,589.00","260,708,113.00","233,230,969.00","260,789,878.00",,"257,433,100.00","239,570,767.00","261,881,679.00","227,834,016.00","285,778,078.00","276,270,136.00","266,985,451.00","282,901,123.00","263,971,755.00","276,006,297.00","272,707,454.00","282,039,269.00","284,350,523.00","263,154,399.00","250,400,032.00","297,762,122.00","263,956,299.00","255,098,753.00","240,266,606.00","265,591,787.00","223,651,175.00","269,473,387.00","247,535,507.00","241,588,809.00","257,161,929.00","222,751,009.00","226,420,776.00","258,526,683.00","282,132,657.00","301,049,971.00","325,942,509.00","321,231,108.00","274,459,068.00","295,728,073.00","315,014,823.00","342,853,899.00","356,456,617.00","302,972,413.00","291,769,534.00","177,208,182.00","143,279,138.00","186,220,723.00","212,232,878.00","208,992,237.00","237,310,604.00","276,231,346.00",,,,
Value (US$),Imports,02 Meat and edible meat offal,World,Canada,"174,127,636.00","157,952,616.00","174,150,510.00","163,699,967.00","189,050,582.00","184,339,581.00","176,227,456.00","157,747,251.00","163,712,219.00","147,841,234.00","155,263,348.00","158,444,442.00","157,107,065.00","144,191,617.00","177,985,457.00","160,208,020.00","161,206,991.00","172,330,871.00","189,580,499.00","165,158,390.00","174,909,284.00","162,277,703.00","166,620,069.00","167,497,744.00","162,158,970.00","159,171,193.00","173,143,174.00","164,796,505.00","166,764,414.00","160,585,076.00","166,727,929.00","155,065,909.00","148,367,445.00","157,832,361.00","156,944,873.00","153,553,953.00","150,805,230.00","129,963,654.00","166,617,938.00","153,366,658.00","166,788,033.00","158,125,819.00","159,343,585.00","148,276,772.00","144,949,599.00","150,640,429.00","156,008,785.00","153,310,005.00","160,058,877.00","146,356,851.00","214,207,715.00","184,087,633.00","170,310,255.00","172,721,312.00","198,809,249.00","196,516,864.00","194,835,634.00","173,140,407.00","173,394,085.00",,,
Value (US$),Imports,02 Meat and edible meat offal,World,Mexico,"249,502,932.00","261,468,011.00","268,351,323.00","302,877,464.00","316,124,907.00","293,356,816.00","303,254,685.00","332,526,104.00","316,516,655.00","283,219,331.00","314,551,856.00",,"299,376,067.00","281,157,599.00","312,737,003.00","274,100,323.00","336,611,227.00","334,409,681.00","338,446,833.00","367,280,720.00","343,519,636.00","351,673,673.00","344,172,664.00","336,241,341.00","324,003,249.00","304,790,903.00","303,074,539.00","360,652,281.00","330,859,657.00","321,800,452.00","321,226,757.00","348,060,150.00","292,077,511.00","352,641,675.00","313,227,075.00","305,865,045.00","320,354,327.00","276,555,762.00","280,907,356.00","305,570,289.00","335,055,639.00","349,607,931.00","408,536,195.00","426,806,765.00","362,259,595.00","375,258,480.00","380,011,342.00","399,147,505.00","404,365,069.00","346,236,564.00","328,762,705.00","201,161,441.00","163,921,993.00","214,004,934.00","239,078,963.00","237,859,673.00","266,876,764.00","319,162,647.00",,,,
Value (US$),Imports,02 Meat and edible meat offal,World,USA,"719,006,052.00","649,469,488.00","750,110,891.00","710,311,954.00","722,949,070.00","719,826,463.00","677,987,700.00","676,414,431.00","563,583,800.00","593,162,328.00","580,356,566.00","548,737,344.00",,"554,392,540.00",,"677,545,675.00",,,,"766,897,712.00",,"679,552,376.00","632,168,507.00","620,967,207.00","715,527,062.00","641,622,458.00","737,115,664.00","675,665,134.00","780,715,288.00","780,803,931.00","797,483,972.00","729,947,238.00","629,277,028.00","662,273,530.00","649,269,152.00","627,460,375.00","746,976,150.00","619,897,999.00","797,848,162.00","792,782,296.00","797,834,431.00","717,670,699.00","758,749,058.00","729,406,572.00","664,641,835.00","710,121,216.00","712,451,913.00","715,984,787.00","766,891,700.00","682,785,783.00","860,217,796.00","702,064,704.00","836,617,774.00","835,796,926.00","923,269,390.00","887,377,481.00","795,118,187.00","736,116,755.00","738,119,778.00",,,
Value (US$),Imports,07 Vegetables and certain roots and tubers; edible,Canada,Canada,"380,758.00","530,550.00","374,119.00","200,788.00","240,261.00","257,832.00","210,099.00","173,699.00","260,321.00","195,116.00","225,611.00","189,460.00","138,394.00","156,746.00","158,571.00","185,565.00","358,136.00","186,670.00","274,633.00","224,461.00","277,433.00","318,482.00","248,631.00","169,901.00","164,915.00","378,529.00","195,324.00","186,865.00","318,171.00","456,711.00","216,824.00","332,430.00","194,659.00","169,500.00","104,521.00","121,986.00","133,551.00",,"139,401.00","177,040.00","963,314.00","285,076.00","650,437.00","742,587.00","624,215.00","535,528.00","371,127.00","205,360.00",,,,,,,"652,950.00",,,,,,,
Value (US$),Imports,07 Vegetables and certain roots and tubers; edible,Canada,Mexico,"2,946,295.00","5,299,092.00","3,533,298.00","3,180,270.00","2,935,848.00","3,376,787.00","2,019,923.00","1,770,405.00","3,313,841.00","2,711,037.00","4,029,554.00",,"6,462,408.00","7,624,006.00","7,392,007.00","1,898,792.00","2,458,847.00","1,093,741.00","2,291,973.00","5,471,087.00","5,812,690.00","6,316,993.00","5,117,046.00","5,282,029.00","5,336,207.00","9,788,454.00","8,004,283.00","14,030,938.00","11,561,848.00","9,421,858.00","5,221,181.00","8,841,114.00","10,992,627.00","5,961,316.00","3,336,651.00","2,176,952.00","2,761,455.00","2,892,573.00","3,203,974.00","1,799,331.00","2,346,706.00","3,734,771.00","2,181,297.00","2,141,650.00","1,477,444.00","923,361.00","1,622,376.00","2,247,905.00","2,895,807.00","2,458,184.00","3,900,907.00","2,669,400.00","3,181,784.00","5,594,186.00","5,518,963.00","3,509,806.00","2,351,964.00","4,024,892.00",,,,
Value (US$),Imports,07 Vegetables and certain roots and tubers; edible,Canada,USA,"81,619,817.00","80,341,810.00","103,651,840.00","136,671,667.00","158,417,836.00","172,628,056.00","188,370,186.00","198,956,625.00","188,257,707.00","154,122,703.00","120,361,050.00","87,267,006.00","86,904,969.00","81,922,606.00","107,620,547.00","137,552,370.00",,"178,258,912.00","205,259,784.00","212,239,213.00",,"199,391,844.00","139,914,011.00","99,492,490.00","107,949,806.00","90,940,816.00","117,591,512.00","147,624,700.00","178,248,555.00","193,771,963.00","224,264,442.00","226,109,067.00","211,951,464.00","186,772,965.00","142,167,451.00","105,420,011.00","99,401,616.00","87,941,347.00","117,974,627.00","165,836,407.00","186,387,529.00","194,764,251.00","230,669,020.00","230,419,473.00","228,644,413.00","199,203,663.00","146,478,173.00","106,440,168.00","109,250,252.00","98,096,297.00","158,333,094.00","187,647,572.00","223,014,310.00","236,787,615.00","258,837,479.00","244,673,675.00","250,308,831.00","214,605,684.00","166,540,000.00",,,
Value (US$),Imports,07 Vegetables and certain roots and tubers; edible,Mexico,Canada,"141,679,547.00","116,546,017.00","107,596,494.00","72,399,109.00","46,613,744.00","29,156,092.00","24,069,758.00","20,099,566.00","21,413,298.00","39,468,640.00","59,963,695.00","84,740,487.00","109,091,906.00","102,639,801.00","103,817,148.00","79,523,926.00","53,335,580.00","37,282,885.00","27,115,072.00","19,523,932.00","20,724,160.00","40,829,713.00","76,800,923.00","106,223,962.00","132,393,050.00","104,263,636.00","106,454,438.00","70,275,140.00","53,488,713.00","35,374,241.00","27,755,890.00","21,699,365.00","22,278,030.00","46,944,797.00","78,126,798.00","110,186,033.00","132,028,538.00","112,128,607.00","120,410,705.00","80,758,225.00","55,274,398.00","38,524,940.00","28,484,443.00","23,011,689.00","24,211,711.00","46,338,616.00","75,055,379.00","98,870,579.00","133,216,918.00","118,372,035.00","123,941,097.00","71,286,504.00","60,161,474.00","43,121,731.00","36,083,237.00","26,482,755.00","28,868,622.00","51,870,915.00","80,752,895.00",,,
Value (US$),Imports,07 Vegetables and certain roots and tubers; edible,Mexico,USA,"867,241,580.00","887,899,275.00","820,642,897.00","634,801,910.00","470,169,094.00","372,113,028.00","302,306,753.00","286,238,687.00","294,823,474.00","401,496,923.00","486,067,227.00","551,875,083.00","655,889,170.00","706,843,947.00","789,485,204.00","610,324,441.00",,"379,263,075.00","308,586,545.00","287,346,949.00",,"452,267,289.00","548,327,427.00","659,322,537.00","873,006,365.00","742,767,076.00","799,753,262.00","611,470,279.00","531,541,719.00","392,968,120.00","331,686,225.00","324,864,837.00","323,064,392.00","472,825,166.00","554,840,612.00","701,229,579.00","897,949,002.00","787,068,540.00","905,437,662.00","702,045,477.00","549,208,602.00","412,591,171.00","366,666,261.00","341,316,675.00","357,639,253.00","500,481,635.00","599,786,237.00","725,937,068.00","979,545,385.00","907,001,032.00","947,283,647.00","636,828,241.00","630,717,298.00","534,092,187.00","466,956,913.00","417,443,015.00","453,105,173.00","591,157,714.00","689,956,156.00",,,
Value (US$),Imports,07 Vegetables and certain roots and tubers; edible,USA,Canada,"170,171,052.00","136,431,559.00","157,265,000.00","170,202,720.00","200,621,285.00","181,778,883.00","145,505,521.00","115,659,611.00","128,894,870.00","140,185,725.00","153,335,308.00","159,501,865.00","146,475,220.00","141,604,045.00","163,220,257.00","199,954,643.00","204,942,372.00","197,061,737.00","164,124,097.00","128,684,742.00","131,479,808.00","151,993,686.00","157,886,992.00","158,576,709.00","153,298,746.00","130,652,653.00","167,967,153.00","168,649,972.00","203,591,350.00","182,054,160.00","146,375,747.00","121,388,971.00","123,932,087.00","144,656,405.00","165,982,771.00","188,327,038.00","162,890,698.00","145,323,651.00","188,207,919.00","198,688,915.00","220,338,807.00","209,800,132.00","182,108,457.00","139,289,652.00","122,657,656.00","151,616,020.00","162,432,681.00","163,623,063.00","172,880,178.00","151,277,043.00","178,955,916.00","167,086,564.00","193,503,512.00","178,563,111.00","170,823,109.00","131,785,037.00","130,909,034.00","161,692,389.00","169,393,283.00",,,
Value (US$),Imports,07 Vegetables and certain roots and tubers; edible,USA,Mexico,"24,589,027.00","33,779,598.00","24,957,984.00","25,664,596.00","21,485,529.00","22,117,055.00","19,530,873.00","31,005,928.00","29,012,282.00","25,610,823.00","23,442,907.00",,"19,919,236.00","21,373,709.00","25,712,705.00","18,482,556.00","19,188,405.00","21,377,638.00","24,844,988.00","38,137,217.00","42,426,961.00","50,971,061.00","33,117,142.00","36,134,889.00","28,647,618.00","25,008,665.00","24,607,282.00","25,472,803.00","22,500,306.00","20,937,937.00","23,703,871.00","33,292,468.00","32,865,140.00","39,488,845.00","31,855,529.00","29,390,538.00","32,956,268.00","26,356,769.00","25,843,352.00","25,652,454.00","26,102,658.00","23,075,502.00","29,867,145.00","32,415,791.00","35,456,896.00","42,557,285.00","37,471,846.00","38,026,092.00","33,720,967.00","31,453,462.00","29,285,605.00","26,413,447.00","25,770,032.00","27,425,725.00","27,740,843.00","33,700,702.00","54,278,227.00","67,644,796.00",,,,
Value (US$),Imports,07 Vegetables and certain roots and tubers; edible,World,Canada,"358,084,392.00","286,927,134.00","296,188,261.00","272,564,565.00","277,129,795.00","240,460,005.00","199,495,326.00","165,694,896.00","180,726,115.00","211,603,363.00","254,408,651.00","296,207,289.00","297,103,210.00","275,840,809.00","302,250,988.00","313,654,010.00","292,047,321.00","267,311,663.00","223,285,742.00","179,971,699.00","186,776,695.00","230,925,587.00","277,893,131.00","308,040,628.00","327,177,425.00","267,186,805.00","309,670,169.00","275,107,338.00","292,987,844.00","244,606,004.00","205,195,233.00","170,933,401.00","180,009,862.00","227,777,779.00","284,390,530.00","351,401,368.00","347,552,032.00","292,118,104.00","349,376,871.00","317,456,392.00","311,406,552.00","277,356,052.00","246,989,070.00","198,237,517.00","184,513,757.00","240,492,552.00","281,714,578.00","318,699,695.00","356,907,699.00","305,959,662.00","343,896,239.00","278,544,368.00","296,387,414.00","260,838,344.00","245,635,182.00","191,527,812.00","200,459,556.00","262,085,551.00","296,896,607.00",,,
Value (US$),Imports,07 Vegetables and certain roots and tubers; edible,World,Mexico,"42,149,517.00","49,952,339.00","32,925,115.00","31,356,898.00","26,125,899.00","28,041,957.00","24,997,210.00","35,913,211.00","35,829,573.00","32,289,850.00","33,496,874.00",,"40,121,508.00","35,688,532.00","36,788,344.00","23,019,415.00","24,420,943.00","25,630,346.00","29,767,139.00","46,824,628.00","53,059,183.00","65,768,547.00","47,593,566.00","53,196,812.00","48,255,865.00","42,593,058.00","37,288,861.00","42,102,903.00","37,434,744.00","33,546,614.00","32,637,889.00","46,595,263.00","47,555,330.00","52,858,691.00","41,275,257.00","44,722,400.00","49,292,869.00","37,276,288.00","32,642,110.00","31,154,298.00","32,947,016.00","29,791,541.00","35,012,785.00","524,949,090.00","40,433,433.00","48,617,621.00","45,044,061.00","52,219,447.00","52,934,348.00","46,228,117.00","37,787,873.00","32,925,889.00","31,537,592.00","35,437,387.00","36,337,930.00","40,518,464.00","60,804,504.00","79,811,692.00",,,,
Value (US$),Imports,07 Vegetables and certain roots and tubers; edible,World,USA,"1,147,700,487.00","1,121,339,479.00","1,077,280,192.00","931,457,009.00","796,259,914.00","698,913,160.00","655,810,368.00","696,280,019.00","686,890,700.00","772,991,440.00","824,853,685.00","894,908,237.00",,"948,981,762.00",,"908,775,704.00",,,,"684,383,504.00",,"868,065,871.00","909,770,163.00","978,403,511.00","1,195,980,393.00","998,596,741.00","1,094,294,569.00","929,528,752.00","898,239,800.00","755,619,953.00","736,479,607.00","744,705,128.00","729,580,802.00","886,026,540.00","916,557,588.00","1,050,266,213.00","1,217,733,949.00","1,031,680,635.00","1,185,047,454.00","1,038,612,937.00","927,793,451.00","767,280,192.00","788,425,628.00","773,673,433.00","797,670,544.00","922,401,078.00","962,365,408.00","1,074,964,106.00","1,337,063,219.00","1,177,658,104.00","1,282,143,879.00","1,001,027,199.00","1,053,258,132.00","960,663,162.00","932,126,462.00","867,975,827.00","909,837,850.00","1,044,344,217.00","1,082,612,220.00",,,
Value (US$),Imports,"08 Fruit and nuts, edible; peel of citrus fruit or melons",Canada,Canada,"884,274.00","1,184,817.00","372,113.00","606,575.00","239,933.00","408,719.00","432,596.00","575,137.00","829,383.00","407,518.00","1,878,965.00","592,806.00","1,887,575.00","256,948.00","1,395,575.00","647,762.00","710,314.00","539,630.00","342,188.00","1,495,358.00","2,912,826.00","1,688,719.00","1,310,969.00","1,512,515.00","1,233,106.00","169,580.00","1,740,163.00","2,841,083.00","1,635,238.00","1,245,957.00","1,987,134.00","3,110,900.00","1,068,808.00","516,819.00","365,245.00","981,032.00","1,547,118.00",,"1,166,708.00","1,361,440.00","2,020,880.00","2,104,659.00","1,445,521.00","1,438,059.00","959,644.00","2,312,127.00","2,475,127.00","2,164,558.00",,,,,,,"1,258,761.00",,,,,,,
Value (US$),Imports,"08 Fruit and nuts, edible; peel of citrus fruit or melons",Canada,Mexico,"10,528.00","8,029.00","9,332.00","12,315.00","72,491.00","73,466.00","135,879.00","48,526.00","8,780.00","80,105.00","511,181.00",,"284,768.00","76,530.00","109,480.00","51,305.00","156,964.00","153,356.00","68,397.00","143,919.00","61,095.00","217,235.00","250,033.00","263,113.00","99,689.00","138,036.00","179,238.00","47,602.00","109,081.00","129,379.00","85,793.00","105,211.00","129,883.00","402,387.00","343,631.00","255,651.00","137,531.00","468,640.00","553,750.00","715,971.00","354,400.00","384,955.00","61,619.00","9,636.00","136,780.00","339,776.00","478,527.00","227,310.00","156,256.00","212,417.00","233,247.00","153,832.00",,"111,430.00","153,783.00","235,672.00","59,964.00","27,962.00",,,,
Value (US$),Imports,"08 Fruit and nuts, edible; peel of citrus fruit or melons",Canada,USA,"13,567,296.00","13,879,961.00","15,351,182.00","14,987,189.00","13,758,262.00","28,364,811.00","71,297,430.00","63,837,238.00","36,681,927.00","70,125,281.00","27,689,789.00","16,955,663.00","17,207,443.00","13,311,808.00","17,546,340.00","15,866,435.00",,"14,074,591.00","65,235,664.00","84,282,229.00",,"46,362,706.00","24,696,907.00","12,534,349.00","14,948,388.00","14,263,670.00","15,858,999.00","17,964,016.00","18,904,786.00","16,903,602.00","59,473,116.00","94,449,306.00","43,207,198.00","62,815,685.00","28,598,466.00","16,898,908.00","20,538,661.00","19,467,274.00","20,465,417.00","21,691,727.00","22,251,119.00","19,796,210.00","81,268,618.00","82,433,032.00","35,367,802.00","45,755,359.00","25,792,585.00","18,112,436.00","21,659,552.00","19,708,257.00","20,549,114.00","20,926,388.00","24,003,882.00","18,454,227.00","59,510,547.00","89,536,617.00","40,512,063.00","61,612,711.00","29,756,027.00",,,
Value (US$),Imports,"08 Fruit and nuts, edible; peel of citrus fruit or melons",Mexico,Canada,"44,071,162.00","46,210,203.00","47,874,355.00","67,994,294.00","87,765,978.00","61,835,118.00","33,802,148.00","31,399,669.00","29,964,102.00","41,866,266.00","52,227,987.00","51,051,888.00","59,295,329.00","63,738,531.00","73,409,811.00","78,763,549.00","89,708,613.00","77,541,513.00","39,154,915.00","32,020,477.00","34,612,185.00","49,872,842.00","59,637,548.00","60,839,952.00","67,121,039.00","59,011,850.00","75,150,816.00","83,764,300.00","92,271,381.00","80,328,089.00","42,819,073.00","35,633,387.00","32,709,314.00","46,150,015.00","58,874,165.00","61,187,850.00","66,482,441.00","70,430,070.00","79,853,816.00","91,708,533.00","91,808,401.00","88,341,366.00","48,468,625.00","40,289,093.00","38,134,761.00","51,466,120.00","66,137,099.00","68,002,874.00","74,080,891.00","69,339,439.00","92,560,537.00","74,589,477.00","93,298,567.00","88,997,025.00","51,330,940.00","37,606,010.00","37,191,477.00","61,512,970.00","69,511,643.00",,,
Value (US$),Imports,"08 Fruit and nuts, edible; peel of citrus fruit or melons",Mexico,USA,"537,332,568.00","505,527,264.00","558,145,565.00","624,661,300.00","828,624,354.00","501,948,085.00","325,822,278.00","326,051,816.00","398,549,578.00","472,184,698.00","544,690,309.00","581,279,412.00","624,209,860.00","615,257,550.00","755,986,597.00","762,949,550.00",,"670,327,462.00","344,114,687.00","422,480,157.00",,"481,381,804.00","549,947,624.00","657,946,518.00","697,788,552.00","674,597,002.00","762,960,972.00","804,057,572.00","835,290,454.00","678,954,580.00","363,834,010.00","431,485,418.00","355,073,356.00","488,998,844.00","613,694,876.00","620,624,597.00","783,168,937.00","748,855,482.00","855,786,310.00","963,044,779.00","957,886,181.00","876,318,004.00","461,146,865.00","430,104,684.00","456,404,324.00","562,977,854.00","631,300,033.00","721,439,900.00","853,644,415.00","776,442,252.00","895,383,640.00","772,581,509.00","861,897,767.00","836,988,380.00","407,313,878.00","438,134,045.00","440,077,505.00","635,397,139.00","662,849,015.00",,,
Value (US$),Imports,"08 Fruit and nuts, edible; peel of citrus fruit or melons",USA,Canada,"110,419,604.00","116,879,548.00","132,194,482.00","139,529,878.00","232,371,959.00","249,938,987.00","225,853,974.00","198,375,610.00","183,686,745.00","177,307,080.00","157,213,676.00","116,251,533.00","107,383,419.00","101,677,086.00","121,196,453.00","141,362,972.00","199,413,090.00","249,741,636.00","253,372,553.00","196,113,340.00","193,554,842.00","171,319,996.00","159,868,896.00","128,449,055.00","116,281,613.00","112,702,562.00","118,632,921.00","141,136,477.00","185,995,823.00","261,930,209.00","238,724,243.00","174,812,897.00","189,017,410.00","162,061,776.00","165,948,254.00","122,268,956.00","100,112,111.00","98,495,114.00","114,044,305.00","133,585,525.00","179,579,691.00","248,293,407.00","238,347,615.00","200,996,586.00","178,918,925.00","161,208,812.00","160,436,002.00","122,814,650.00","105,363,290.00","117,062,202.00","144,049,836.00","132,786,042.00","206,460,593.00","245,753,750.00","257,165,493.00","210,840,388.00","180,736,785.00","174,104,576.00","158,571,656.00",,,
